date,Year,Month,Mercedes-Benz,BMW,MINI,Audi,Volkwagen,Porsche,Toyota,Lexus,Nissan,Infiniti,Honda,Volvo,Jaguar,Land Rover,Ford,GM,Cadillac,Chrysler,Fiat,Maserati,Peugeot,Citroen,Aston Martin
2016-01-01,2016 ,1 ,91367.5,36268.9,1014.9,50761.1,12804.6,11505.2,6687.9,5574.7,1400.5,13663.1,8501.1,5376,6199.5,40962.2,9505,605.4,12082.1,9170.2,954.6,15607.8,6558.9,348.1,33641.6
2016-01-02,2016 ,1 ,94927.9,39025.6,1132.1,52742.7,13012,11648.4,6821,6028.9,1585.1,14435,10611.9,6071.8,6576.9,41032.9,9338.6,644.8,9895.6,9670.6,1129.1,15573.4,6868.3,333.9,12209.4
2016-01-03,2016 ,1 ,93701.7,39610.2,1085.6,54485.8,13314.5,10978.5,6840,5785.8,1798.1,14423.9,8804.8,5763.7,6624.4,38500.1,10186.1,694.2,10135.7,9399.1,2208.8,13446.5,6681.6,358.1,5497.2
2016-01-04,2016 ,1 ,95439.2,41408.8,1344.9,58408.1,15052.8,10111.6,7061,6107.6,1726.4,14895,8963.2,5603.3,7024.9,38151.9,9838,1020.1,10775,9278.2,2094.8,13118.5,12713.8,420.7,4758.6
2016-01-05,2016 ,1 ,98758.3,39030.6,1233,60748.9,15571,9000.7,7668.6,5786.8,1571.1,15026.5,10219.7,5477.5,6304.4,34873.5,9477.7,1013.1,10625.1,8273.1,1518.6,12303.1,10076.1,360.2,2181.6
2016-01-06,2016 ,1 ,101725.1,41631,1333.9,52771.9,15342.1,9336.7,8383.2,6405.3,1525.7,16314.2,10404.2,4978.7,6397.2,33663.7,9283,948.5,9961.2,8347.8,1244.1,11310.2,9027.7,350,2244.2
2016-01-07,2016 ,1 ,91695.7,43240,1302.6,52218.2,15392,9920.9,9272.8,7282.1,1578.1,18133,8663.5,5423.9,6214.7,34564.8,8903.6,972.7,10110.4,9029.9,1125.1,12535.2,7876.6,509.4,1925.2
2016-01-08,2016 ,1 ,89553,39920.6,1332.9,47439.5,13840.1,9779.6,10087.2,5402.3,1533.7,17023.2,8705,6399.5,6323.6,34420.4,8922.9,862.7,10898.7,11141.9,1055.5,11696.9,7565.8,1004,1560
2016-01-09,2016 ,1 ,97275.8,41263.5,1119.9,47879.5,14347.4,9574.9,8862.4,5694.9,1644.6,16201.9,9073.3,6854.3,6786.8,37546.7,9604.9,663.9,10973.3,9949.1,1097.8,12941.9,7864.4,1267.2,5317.6
2016-01-10,2016 ,1 ,100061.1,39403.8,1074.5,51269.6,14943.4,9306.5,8064.2,5436.8,1541.7,15042.7,8360,5734.5,8766.5,44203.3,9635.2,650.8,14832.5,11469.6,1158.4,12410,7490.9,635.7,3489.2
2016-01-11,2016 ,1 ,103410.9,41349.4,1447.8,48233.2,13730.1,9327.6,8237.5,5548.7,1656.8,15443,8355.9,6411.6,6872.6,36799.8,10090.2,973.7,13441.4,9998.6,1571.1,12227.5,12849,567.9,2429.8
2016-01-12,2016 ,1 ,106506.2,43893.2,1315.7,52409.8,13400.8,9701,8111.5,6509,1682.1,16302.6,8133.8,6403,6844.3,37220.7,10893.5,992.9,12258.7,10211.6,1420.7,11884.6,11443.5,465.1,4145.2
2016-01-13,2016 ,1 ,102447.1,44250.5,1371.1,59846.5,14925.4,9530.4,8228.8,6240.6,1804.2,16273.6,8293.2,7043.5,6930.2,36488.1,12956.1,1053.4,13963.9,9839.2,1351.1,11735.3,16045.8,432.8,2583.2
2016-01-14,2016 ,1 ,93109.7,42508.8,1292.5,53937.8,13254.2,10457.7,9725.1,5936,1818.2,17479.3,7453.8,7466.3,6978.5,34034,12818.7,982.8,14693.4,9809.8,1124.1,11554.5,15418.2,490.3,3451
2016-01-15,2016 ,1 ,90669.9,39713.7,1150.2,49631.1,13245,9513.3,9560.3,7407.3,1631.6,18599.2,6936.1,8936,6818.1,32860.4,10097.3,924.3,11401.1,9262.1,1432.8,10581.9,11486.8,428.8,2088.6
2016-01-16,2016 ,1 ,99578.8,38862.2,1106.7,49725.4,12006,10456.7,8293.3,6823.9,1971.6,17088.8,7645.4,8381.1,8244.8,44479.8,10575.7,790.1,10585.8,9557.7,982.8,12732,14004.3,396.4,2127
2016-01-17,2016 ,1 ,102850.9,40619,1185.6,52086.2,13163,9339.7,7880.7,6075.4,1798.1,15754.2,8016.8,7344.8,7119.8,41670.5,10718.8,687.1,11945.9,10325.4,988.8,12283.2,12003.4,387.2,2155.2
2016-01-18,2016 ,1 ,99175.1,41552,1344.8,61364,13627.1,8466.9,7302.4,5973.4,1675.9,14951.7,7632.2,6073.7,7237.7,38318.4,15438.3,1025.2,12996.4,11948.2,1415.7,12096.4,11836,458.9,1895
2016-01-19,2016 ,1 ,104546.2,42128.5,1278.4,53394.5,14596.2,8613.2,10191.3,6583.9,1786,18561.2,7427.4,6535.2,7276,42068,18605.7,974.7,12388.7,10839,1365.2,12040.7,12983.3,515.4,2536.8
2016-01-20,2016 ,1 ,102962,40364.4,1235,54613.5,13226.2,11094.4,11035.7,6781.4,1595.3,19412.4,7066.3,9331.9,6880.6,36597.2,18413.9,918.2,14887.3,10376,910.1,10555.6,10540.4,483.2,2454
2016-01-21,2016 ,1 ,103014.2,41447.3,1140.2,52472.7,12527.1,11485,9842.1,5685.9,1653.7,17181.7,7716.1,15301.5,6901.7,34452.7,16035.7,913.2,18906.5,10281,883.9,10470.6,13717.1,602.2,1983.8
2016-01-22,2016 ,1 ,98776.5,48614.6,1261.3,49109.2,12456.2,10135.9,6928.7,5941.1,1574.1,14443.9,7518.2,12607.7,6446.6,39949.2,16761.2,952.5,18015.4,9525.3,801.1,10326.3,11808.9,713.2,1882.8
2016-01-23,2016 ,1 ,101738.3,44737.8,1174.3,48711.1,12535.1,9794.8,7488.1,6030.8,1655.8,15174.7,8199.4,7072.9,7762.4,39906.8,21167.7,683.1,14029.6,10027.9,829.4,10125.7,11055.2,556.8,1880.8
2016-01-24,2016 ,1 ,101927.2,43462.3,1022,51355.2,12987.3,8844.3,7979.6,5972.2,1779.9,15731.7,8470.9,6694.7,7183.3,36567.8,26376.4,698.2,14086,11075.3,900.1,10008.4,9568.5,421.6,1782
2016-01-25,2016 ,1 ,100529.7,45825.5,1244.1,50119.2,12870,8758.5,7468.8,5864.1,1758.7,15091.6,8033,6799.5,9637.3,37930,19951.6,883.9,15898.3,9982.5,1057.5,10219.5,9071,478.2,1771.8
2016-01-26,2016 ,1 ,99106,45793.3,1287.5,55339.2,13435.7,9265.1,8195.3,6198.3,1778.9,16172.5,8765.4,6821.2,13375.8,41077.2,20018.2,971.7,17757,10106.5,958.6,12085.2,9738.2,478.2,2892
2016-01-27,2016 ,1 ,96381.8,50037.3,1306.7,53809.7,13724.9,10402.3,7978.4,6006.7,1918.1,15903.2,8556.6,9459.4,10985.4,37383.1,18394.6,916.2,21145.4,9627.3,1043.3,10826,10086.2,616.5,1790
2016-01-28,2016 ,1 ,99710.3,47797.2,1307.7,54814,15400.8,11500.1,7729.2,6228.6,1880.8,15838.6,9410.4,9331.3,9389,37745.2,17224.2,922.2,17343.3,9775.5,1107.9,10761.5,8969.3,560.9,1796
2016-01-29,2016 ,1 ,97928.4,44444.2,1174.4,51038.2,13354.2,10060.2,7399,6514,1822.3,15735.3,8349.8,7087.6,8052,35211.6,14084.2,922.2,16442.3,8959.3,970.7,10883.3,8076.4,481.2,1800.2
2016-01-30,2016 ,1 ,103104.5,43407.7,1081.7,51257.2,13576.3,11248.8,7931.9,6961.3,1754.6,16647.8,9696.8,6748.6,8203.5,39764.2,17788.2,668,13978.2,9799.7,935.4,14311,8521.4,494.4,1796
2016-01-31,2016 ,1 ,104854.4,45435,1275.2,54144.7,13963.3,10781.7,8691.8,6499,1846.5,17037.3,11768.4,7741.9,11455.6,39509,27013.2,673,14479.8,10473.8,1119,13695.8,9589.8,482.2,2046.2
2016-02-01,2016 ,2 ,101475.1,42069.9,1287.4,51022.1,13474.4,9719.2,7740.3,5501.3,1837.4,15079,9729.2,9745.8,9446.7,35648.7,15947.8,880.9,12386.8,9221.5,896,11007.6,9300.4,430.8,1560
2016-02-02,2016 ,2 ,97541.1,45346.1,1411.4,51399.2,21890.2,9514.3,7746.4,5597,1948.4,15291.8,9426.5,8672.4,9657.5,35203.7,14130.6,914.2,12768.3,9292.2,903.1,10303.2,10301.2,412.4,1515.6
2016-02-03,2016 ,2 ,101086.9,43622.8,1289.5,51619.7,14876.9,8915.9,7418.4,5568.8,1965.6,14952.8,9376.9,6922.1,8706.9,35799,12951,921.2,11278,9344.7,1022.1,9882.3,9991.5,385.4,1509.4
2016-02-04,2016 ,2 ,102992.5,46472.4,1197.7,54997.3,15607.9,9043,7264.8,5588,1900,14752.8,8780.7,7163,9176.2,35369,13496.9,903.1,11222.4,10326.5,1775.9,10410.4,10913.8,475.1,1517.6
2016-02-05,2016 ,2 ,96850.4,42568.2,1212.8,51000.5,14141.5,9165.2,6971.4,5902.7,1753.7,14627.8,8371.9,7568.4,8263.1,38102.4,12217.4,848.6,11193.1,9453.6,1894,10550.4,9603.2,402.5,1493.4
2016-02-06,2016 ,2 ,105924.1,42216.4,1157.3,51007.8,14033.4,10046,7293.4,5625.3,1645.8,14564.5,9542.4,6688.3,8220.6,39299.4,12818.8,623.6,11409.1,11051,1466.1,11160,9576.8,385.4,1547.8
2016-02-07,2016 ,2 ,114296,44343.4,1045.2,52866.1,14449.3,9830.1,9295.2,5790.9,1750.7,16836.8,9597.9,6701.4,8954.3,39204.2,16021.5,614.5,11359.8,12978.3,1291.6,10582.7,9014.6,381.2,1739.6
2016-02-08,2016 ,2 ,134014.2,52154,1440.9,63728.2,17511.2,12458.7,10549.5,12068.8,2168.4,24786.7,10551.6,7643.2,10911.7,59110.8,17164.7,576.1,13797.5,12845,1354.1,13658.3,11789.7,477.1,1901
2016-02-09,2016 ,2 ,121881.6,48951.4,1263.2,58290.4,16506.7,10823,10068,9638.3,2166.3,21872.6,12945.1,7251.1,10266,51788.3,21280.7,634.7,12852.8,12013.6,1439.9,10999.4,12508.1,455,1533.8
2016-02-10,2016 ,2 ,132072.6,52025.2,1229.9,60702.2,17703.3,11208.5,10085,8924.9,2394.4,21404.3,13488.8,7810.2,10095.5,47328.1,18216.2,713.4,12083.2,12823.9,1409.6,11133.5,13726.1,533.7,1933.2
2016-02-11,2016 ,2 ,123122.9,51587.2,1357.2,60523.1,16644.3,10026.9,8781.3,9050,2325.8,20157.1,10445.6,8854.7,12945.9,46819.6,16240.5,899.1,12607.9,12336.6,1315.8,13531.3,11842,641.6,1786
2016-02-12,2016 ,2 ,114151.8,47599.7,1315.6,55351.5,14807.9,10001.6,8100.4,7724.1,2354.1,18178.6,9681.8,9716.8,11130.7,42731.8,13858,969.7,13863.1,10092.4,1081.7,13040.7,10021.7,478.3,3011
2016-02-13,2016 ,2 ,117492.3,47596,1380.3,57181.7,14803.5,10191.3,8756.3,6651.4,2116,17523.7,9465.8,9878.9,9867.5,41006.6,15907.4,784,25294.6,10337.5,1154.3,11879.3,9617,391.5,2502.4
2016-02-14,2016 ,2 ,109190.5,44559.1,1301.5,54854.8,13928.4,10150,9420,6112.7,2514.5,18047.2,13069,9159.8,11415.2,39130.6,18285.8,682.1,25799.1,9688.7,1072.6,13052.9,8904.8,415.8,2040.2
2016-02-15,2016 ,2 ,108348,45947.7,1595.2,54158.1,14337.9,10375.1,10088.3,5706,2331.8,18126.1,14159.8,7422.7,11311.2,39015.8,17850.9,932.3,20388.6,8975.5,1023.1,13351.5,10683.8,495.4,1872.8
2016-02-16,2016 ,2 ,124640.4,49366.3,1473.2,57665.5,15067.9,13203.4,9909.8,6966.3,2396.4,19272.5,10571.8,7965.7,9710,45963,17775,987.8,21621.6,11233.6,1025.2,11907.7,11836.8,509.4,1893
2016-02-17,2016 ,2 ,109290.4,46789.2,1483.1,57550.7,13431.4,9934.1,7814.9,8227.2,2164.3,18206.4,10048,9230.2,8817,52830.6,14000.5,903.1,21596.6,9554.5,1102.9,11211.2,14522.1,541.8,1491.4
