년,월,Advertiser,Brand,Product,연령대,광고횟수,시청자수,GRP,도달자수,도달율 1+,도달율 3+,도달율 5+,도달율 7+,도달율 9+
2016,01월,BMW코리아,BMW,BMW미니클럽맨,20대,1,0,0,0,0,0,0,0,0
2016,01월,BMW코리아,BMW,BMW미니클럽맨,30대,1,21000,0.5,21000,0.5,0,0,0,0
2016,01월,BMW코리아,BMW,BMW미니클럽맨,40대,1,23840,0.6,23840,0.6,0,0,0,0
2016,01월,BMW코리아,BMW,BMW미니클럽맨,50대,1,0,0,0,0,0,0,0,0
2016,01월,BMW코리아,BMW,BMW미니클럽맨,60대,1,5638,0.2,5638,0.2,0,0,0,0
2016,01월,BMW코리아,BMW,BMW미니클럽맨,개인,1,56724,0.3,56724,0.3,0,0,0,0
2016,01월,BMW코리아,BMW,BMW코리아7시리즈,20대,364,2024453,58.5,1003038,29,5.2,2.7,1.1,0.8
2016,01월,BMW코리아,BMW,BMW코리아7시리즈,30대,364,3213673,77.5,1332802,32.1,9,3.7,1.6,1.3
2016,01월,BMW코리아,BMW,BMW코리아7시리즈,40대,364,6414561,155.6,2163248,52.5,20,10.1,5.2,3
2016,01월,BMW코리아,BMW,BMW코리아7시리즈,50대,364,7603081,244.5,1805737,58.1,29.9,16.4,11.5,6.7
2016,01월,BMW코리아,BMW,BMW코리아7시리즈,60대,364,7335327,233.5,1894436,60.3,29.3,17.2,10.2,6.9
2016,01월,BMW코리아,BMW,BMW코리아7시리즈,개인,364,29604073,131.3,9739713,43.2,15.8,8.2,4.6,2.9
2016,01월,FMK,마세라티,FMK마세라티기블리,20대,62,1151593,33.3,737217,21.3,3.6,0.5,0,0
2016,01월,FMK,마세라티,FMK마세라티기블리,30대,62,2084309,50.3,1027670,24.8,6.6,1.4,0.4,0.3
2016,01월,FMK,마세라티,FMK마세라티기블리,40대,62,2517922,61.1,1276632,31,7.4,1.8,0.5,0.1
2016,01월,FMK,마세라티,FMK마세라티기블리,50대,62,1696195,54.6,868563,27.9,7.5,1.5,0.6,0.1
2016,01월,FMK,마세라티,FMK마세라티기블리,60대,62,794110,25.3,514956,16.4,2.1,0.1,0,0
2016,01월,FMK,마세라티,FMK마세라티기블리,개인,62,9756898,43.3,5272707,23.4,5.2,1.1,0.3,0.1
2016,01월,메르세데스벤츠코리아,메르세데스벤츠,메르세데스벤츠,20대,125,85369,2.5,82563,2.4,0,0,0,0
2016,01월,메르세데스벤츠코리아,메르세데스벤츠,메르세데스벤츠,30대,125,149637,3.6,97983,2.4,0.4,0.1,0.1,0
2016,01월,메르세데스벤츠코리아,메르세데스벤츠,메르세데스벤츠,40대,125,156654,3.8,110227,2.7,0.3,0,0,0
2016,01월,메르세데스벤츠코리아,메르세데스벤츠,메르세데스벤츠,50대,125,302097,9.7,241425,7.8,0.4,0,0,0
2016,01월,메르세데스벤츠코리아,메르세데스벤츠,메르세데스벤츠,60대,125,614149,19.5,385657,12.3,1,0.3,0.3,0.1
2016,01월,메르세데스벤츠코리아,메르세데스벤츠,메르세데스벤츠,개인,125,1374568,6.1,976095,4.3,0.3,0.1,0.1,0
2016,01월,아우디코리아,아우디,아우디코리아아우디,20대,1174,2692440,77.8,1137275,32.8,9.8,3.4,1.8,0.7
2016,01월,아우디코리아,아우디,아우디코리아아우디,30대,1174,4725012,113.9,1568118,37.8,14.5,7.4,5.1,1.5
2016,01월,아우디코리아,아우디,아우디코리아아우디,40대,1174,7571276,183.7,1926973,46.7,24,13.2,8,4.5
